shoot_id,photographer_id,event,location,year,photos_taken,photos_exported,lens,fee_usd,client_rating
1,1,Serengeti Safari,Shanghai,2021,652,132,100mm f/2.8 Macro,0,
2,1,Wildlife Reserve Shoot,Kyiv,2024,165,100,16-35mm f/4,350,3.1
3,1,Migration Season,Kolkata,2023,744,128,200-600mm f/5.6,750,4.8
4,1,National Park Assignment,Shanghai,2019,642,91,70-200mm f/2.8,1500,4.1
5,2,Street Life Series,Kolkata,2021,917,205,70-200mm f/2.8,150,4.0
6,2,Urban Portraits,São Paulo,2024,196,48,24-70mm f/2.8,3000,3.3
7,2,City Nights,Prague,2022,230,118,16-35mm f/4,2000,5.0
8,2,Downtown Documentary,New York,2020,123,107,85mm f/1.8,3000,4.8
9,2,Market Day,Berlin,2024,796,77,35mm f/2.0,750,3.3
10,2,Alleyway Series,Lagos,2023,639,276,24-70mm f/2.8,1500,4.8
11,2,Street Life Series,Lisbon,2024,1139,121,24-70mm f/2.8,500,4.5
12,2,Urban Portraits,Dakar,2024,1186,20,100mm f/2.8 Macro,1000,3.0
13,3,Studio Portrait Session,Lisbon,2019,218,81,85mm f/1.8,0,
14,3,Editorial Portraits,Mexico City,2024,241,214,24-70mm f/2.8,150,4.3
15,3,Family Portrait Day,Dakar,2019,642,290,16-35mm f/4,200,4.9
16,3,Corporate Headshots,Casablanca,2023,738,224,100mm f/2.8 Macro,1000,4.8
17,3,Fashion Portraits,Shanghai,2018,607,135,85mm f/1.8,500,3.0
18,4,Community Documentary,Kyiv,2022,551,23,85mm f/1.8,3000,3.1
19,4,Social Issues Series,São Paulo,2018,776,56,70-200mm f/2.8,350,4.3
20,4,Life in the City,Casablanca,2022,370,262,70-200mm f/2.8,1000,4.6
21,4,Cultural Documentary,Casablanca,2018,298,240,100mm f/2.8 Macro,750,3.8
22,4,Local Stories,Mumbai,2023,301,51,16-35mm f/4,500,4.6
23,4,Neighborhood Project,Cairo,2019,492,117,200-600mm f/5.6,150,3.8
24,4,Community Documentary,Berlin,2021,611,58,200-600mm f/5.6,1500,3.2
25,5,Coastal Landscape Series,Dakar,2024,130,31,70-200mm f/2.8,150,3.8
26,5,Mountain Expedition,Mexico City,2019,921,50,24-70mm f/2.8,750,3.0
27,5,Sunrise Series,Beirut,2020,1031,166,16-35mm f/4,1500,4.3
28,5,National Park Landscapes,Mexico City,2019,488,171,70-200mm f/2.8,0,
29,5,Countryside Shoot,Kolkata,2023,224,211,100mm f/2.8 Macro,0,
30,5,Valley Survey,Mumbai,2022,1076,277,24-70mm f/2.8,0,
31,5,Coastal Landscape Series,New York,2018,480,55,85mm f/1.8,3000,4.7
32,5,Mountain Expedition,Beirut,2018,604,40,85mm f/1.8,750,4.3
33,6,Heritage Building Survey,New York,2020,634,124,100mm f/2.8 Macro,200,3.5
34,6,Modern Architecture Series,Nairobi,2023,714,254,100mm f/2.8 Macro,0,
35,6,Skyline Shoot,Lagos,2021,304,57,70-200mm f/2.8,1500,3.5
36,6,Historic District,Bogotá,2018,600,209,35mm f/2.0,150,3.9
37,6,Urban Architecture,Dakar,2023,719,290,50mm f/1.4,3000,4.6
38,6,Landmark Series,Lisbon,2023,312,88,35mm f/2.0,0,
39,6,Heritage Building Survey,Cairo,2023,418,159,35mm f/2.0,2000,3.4
40,7,Street Life Series,Casablanca,2023,640,278,200-600mm f/5.6,350,4.8
41,7,Urban Portraits,Mumbai,2018,967,161,50mm f/1.4,0,
42,7,City Nights,Accra,2024,367,154,24-70mm f/2.8,1000,4.1
43,7,Downtown Documentary,Prague,2022,119,34,85mm f/1.8,150,4.1
44,7,Market Day,Bogotá,2022,403,240,24-70mm f/2.8,0,
45,8,Studio Portrait Session,Bogotá,2024,181,111,70-200mm f/2.8,3000,3.5
46,8,Editorial Portraits,Cairo,2020,932,99,70-200mm f/2.8,150,5.0
47,8,Family Portrait Day,Tokyo,2021,150,65,100mm f/2.8 Macro,750,4.6
48,8,Corporate Headshots,Kyiv,2020,426,75,16-35mm f/4,0,
49,8,Fashion Portraits,Mexico City,2019,508,255,100mm f/2.8 Macro,350,4.6
50,9,Breaking News Assignment,Kyiv,2018,495,224,100mm f/2.8 Macro,350,4.7
51,9,Field Report,Berlin,2020,1143,224,100mm f/2.8 Macro,0,
52,9,Election Coverage,Cairo,2020,465,155,50mm f/1.4,0,
53,9,Feature Story,Osaka,2021,807,180,16-35mm f/4,2000,5.0
54,10,Gallery Exhibition Series,Beirut,2022,489,150,50mm f/1.4,750,3.0
55,10,Conceptual Series,Dakar,2023,503,206,16-35mm f/4,0,
56,10,Abstract Study,Accra,2022,742,83,35mm f/2.0,1500,3.6
57,11,Championship Coverage,Accra,2021,705,85,70-200mm f/2.8,750,4.3
58,11,Marathon Event,Beirut,2023,456,174,16-35mm f/4,1500,4.7
59,11,League Match,Lisbon,2020,530,240,100mm f/2.8 Macro,1000,3.9
60,11,Sports Tournament,Casablanca,2022,1069,106,85mm f/1.8,350,4.0
61,11,Athletic Event,Osaka,2020,291,140,35mm f/2.0,200,4.6
62,11,Cup Final Coverage,Nairobi,2018,194,82,200-600mm f/5.6,2000,4.7
63,12,Community Documentary,Shanghai,2021,498,216,200-600mm f/5.6,750,3.5
64,12,Social Issues Series,Lagos,2024,318,237,70-200mm f/2.8,150,4.6
65,12,Life in the City,New York,2021,202,162,70-200mm f/2.8,0,
66,13,Destination Wedding,Nairobi,2024,1051,291,100mm f/2.8 Macro,1000,4.2
67,13,Wedding Ceremony,New York,2021,1013,101,200-600mm f/5.6,1000,3.5
68,13,Bridal Session,Kyiv,2024,667,286,200-600mm f/5.6,3000,3.5
69,13,Wedding Reception,Shanghai,2018,685,140,35mm f/2.0,500,3.6
70,13,Engagement Shoot,Dakar,2018,383,97,70-200mm f/2.8,750,4.4
71,13,Wedding Weekend,Casablanca,2018,949,228,100mm f/2.8 Macro,1500,3.9
72,14,Coastal Landscape Series,Casablanca,2024,960,219,50mm f/1.4,2000,3.8
73,14,Mountain Expedition,Lagos,2020,711,219,16-35mm f/4,1500,4.5
74,14,Sunrise Series,Dakar,2024,551,269,70-200mm f/2.8,350,3.9
75,15,Street Life Series,Beirut,2020,928,104,200-600mm f/5.6,150,5.0
76,15,Urban Portraits,Dakar,2018,906,33,85mm f/1.8,3000,3.9
77,15,City Nights,Shanghai,2019,202,86,16-35mm f/4,500,3.4
78,16,Studio Portrait Session,Accra,2024,876,162,16-35mm f/4,350,4.7
79,16,Editorial Portraits,Mexico City,2018,206,109,70-200mm f/2.8,3000,3.1
80,16,Family Portrait Day,Mumbai,2024,163,83,70-200mm f/2.8,0,
81,16,Corporate Headshots,Osaka,2019,588,84,200-600mm f/5.6,3000,3.2
82,16,Fashion Portraits,Casablanca,2021,624,208,24-70mm f/2.8,2000,4.2
83,17,Serengeti Safari,Cairo,2024,435,179,85mm f/1.8,2000,3.1
84,17,Wildlife Reserve Shoot,Lisbon,2022,868,223,70-200mm f/2.8,0,
85,17,Migration Season,Kolkata,2023,597,72,35mm f/2.0,3000,4.2
86,17,National Park Assignment,Cairo,2024,184,108,16-35mm f/4,3000,3.7
87,17,Conservation Documentary,New York,2023,798,26,16-35mm f/4,1000,3.2
88,17,Big Cat Tracking,Bogotá,2023,1041,98,16-35mm f/4,150,4.5
89,17,Serengeti Safari,Berlin,2022,1090,258,16-35mm f/4,2000,3.5
90,17,Wildlife Reserve Shoot,Kyiv,2024,277,162,200-600mm f/5.6,200,4.5
91,18,Community Documentary,Osaka,2023,876,192,50mm f/1.4,1000,4.7
92,18,Social Issues Series,Tokyo,2021,534,201,35mm f/2.0,500,3.6
93,18,Life in the City,Osaka,2023,665,25,70-200mm f/2.8,0,
94,18,Cultural Documentary,Kyiv,2023,932,270,70-200mm f/2.8,1000,4.3
95,18,Local Stories,Mexico City,2021,135,31,35mm f/2.0,200,3.8
96,18,Neighborhood Project,Kyiv,2020,855,262,100mm f/2.8 Macro,750,5.0
97,18,Community Documentary,Dakar,2020,820,252,35mm f/2.0,350,3.5
98,19,Serengeti Safari,Casablanca,2020,344,294,24-70mm f/2.8,200,3.4
99,19,Wildlife Reserve Shoot,Mexico City,2020,1174,164,85mm f/1.8,200,3.6
100,19,Migration Season,Bogotá,2019,719,27,24-70mm f/2.8,350,3.1
101,20,Heritage Building Survey,Dakar,2020,358,271,85mm f/1.8,0,
102,20,Modern Architecture Series,Kolkata,2020,1061,265,200-600mm f/5.6,500,3.4
103,20,Skyline Shoot,Mumbai,2020,1078,78,85mm f/1.8,750,4.0
